Calculate the volume of a sphere with radius 10 cm",Math"
Summarize the main themes of Shakespeare's Hamlet",Summarization"
Build a recommendation system using collaborative filtering",Code_aiml"
What are the major political parties in the UK?",GK_politics"
I just had a fight with my best friend",Chat_emotional_support"
Create a dynamic website using PHP and MySQL",Code_web_dev"
What causes the seasons on Earth?",GK_science"
Write a romantic story set in Paris",Chat_story"
Design a load balancer for high-traffic applications",Code_system_design"
Who discovered penicillin?",GK_history"
Solve the quadratic equation 2x² + 7x - 15 = 0",Math"
Translate this German phrase: 'Wie geht es dir?'",Translation"
My JavaScript function isn't returning the expected value",Code Explanation / Debug"
What are the longest rivers in the world?",GK_geography"
How do I deal with workplace conflict?",Chat_advice"
Create a data visualization dashboard using D3.js",Code_web_dev"
What is the current state of renewable energy adoption?",GK_environment"
I'm feeling lonely and isolated",Chat_emotional_support"
Implement a priority queue using a heap",Code_data_structures"
Who are the richest people in the world?",GK_economy"
Calculate the area of a triangle with base 8 and height 12",Math"
Classify these vehicles: car, bicycle, airplane, boat",Classification"
Build a neural network from scratch in Python",Code_aiml"
What were the causes of World War II?",GK_history"
I'm so proud of my daughter's graduation",Chat_casual"
Write a PowerShell script to monitor system performance",Code_scripting"
What are the major tennis tournaments?",GK_sports"
I need advice on buying my first home",Chat_advice"
Debug this C++ code that's crashing unexpectedly",Code Explanation / Debug"
What is blockchain technology?",GK_tech"
Find the limit of (x²-1)/(x-1) as x approaches 1",Math"
Summarize the key findings of this scientific study",Summarization"
Create a voice assistant using Python and speech recognition",Code_aiml"
What are the main branches of government?",GK_politics"
Tell me a scary ghost story",Chat_story"
Design a scalable chat application architecture",Code_system_design"
What is the water cycle?",GK_science"
I'm anxious about my medical test results",Chat_emotional_support"
Build a progressive web app using React and service workers",Code_web_dev"
Who wrote 'To Kill a Mockingbird'?",GK_literature"
Calculate the compound annual growth rate of an investment",Math"
Translate 'I love you' to 5 different languages",Translation"
My database query is running too slowly, how to optimize?",Code Explanation / Debug"
What are the major deserts in the world?",GK_geography"
How do I improve my self-confidence?",Chat_advice"
Create a RESTful API with authentication using JWT",Code_web_dev"
What is the current unemployment rate?",GK_economy"
I'm excited about starting college next month",Chat_casual"
Write a script to automatically deploy applications",Code_devops"
Who holds the world record in the 100m sprint?",GK_sports"
I'm having trouble with my teenage son",Chat_emotional_support"
Implement a graph traversal algorithm (DFS/BFS)",Code_algorithms"
What causes global warming?",GK_environment"
Solve the equation log₂(x) = 3",Math"
Categorize these books by genre: mystery, romance, sci-fi",Classification"
Build a computer vision model for object detection",Code_aiml"
What was the significance of the Renaissance?",GK_history"
Tell me about your favorite hobby",Chat_casual"
Create a MongoDB database with user authentication",Code_database"
Who are the current world leaders in technology?",GK_current_affairs"
I'm stressed about my wedding planning",Chat_advice"
Debug this HTML/CSS layout that's not responsive",Code Explanation / Debug"
What is photosynthesis?",GK_science"
Calculate the standard deviation of this dataset: 2,4,6,8,10",Math"
Summarize the main arguments in this political debate",Summarization"
Develop a recommendation algorithm for streaming services",Code_aiml"
What are the major international organizations?",GK_politics"
Write a mystery story with an unexpected twist",Chat_story"
Design a distributed system for real-time messaging",Code_system_design"
What are the phases of the moon?",GK_science"
I'm dealing with empty nest syndrome",Chat_emotional_support"
Create a single-page application using Vue.js",Code_web_dev"
Who won the latest Grammy Awards?",GK_current_affairs"
Find the area under the curve y = x² from 0 to 2",Math"
Translate this Italian sentence: 'Dove si trova la stazione?'",Translation"
My Android app keeps crashing on startup",Code Explanation / Debug"
What are the major ocean currents?",GK_geography"
How do I maintain long-distance relationships?",Chat_advice"
Build a blockchain-based voting system",Code_app_dev"
What is the current state of space exploration?",GK_tech"
I'm celebrating my 10th wedding anniversary",Chat_casual"
Write a script to backup database automatically",Code_scripting"
Who are the current Formula 1 champions?",GK_sports"
I'm overwhelmed with parenting responsibilities",Chat_emotional_support"
Implement a red-black tree data structure",Code_data_structures"
What are the major economic indicators?",GK_economy"
Calculate the surface area of a cube with side length 5",Math"
Classify these musical instruments: piano, guitar, drums, flute",Classification"
Create a deep learning model for image recognition",Code_aiml"
What were the major battles of the Civil War?",GK_history"
Tell me about your dream job",Chat_casual"
Set up monitoring and alerting for web applications",Code_devops"
What is quantum computing?",GK_tech"
I'm worried about my aging parents",Chat_advice"
Debug this React component that's not rendering correctly",Code Explanation / Debug"
What are the major climate zones on Earth?",GK_geography"
Solve the trigonometric equation sin(x) = 0.5",Math"
Summarize the key points of this business proposal",Summarization"
Build a natural language processing chatbot",Code_aiml"
Who are the current Supreme Court justices?",GK_politics"
Write a heartwarming story about friendship",Chat_story"
Design a high-availability system architecture",Code_system_design"
What is the nitrogen cycle?",GK_environment"
I'm excited about my new job opportunity",Chat_casual"
Create a responsive email template using HTML/CSS",Code_htmlcssjs"
What are the major literary movements?",GK_literature"
Calculate the probability of drawing a red card from a deck",Math"
Translate 'Thank you very much' to Japanese",Translation"
My website is loading slowly, how to optimize performance?",Code Explanation / Debug"
What are the tallest mountains in each continent?",GK_geography"
How do I overcome social anxiety?",Chat_advice"
Build a cross-platform mobile app using Flutter",Code_app_dev"
What is the current state of artificial intelligence?",GK_tech"
I'm feeling grateful for my supportive family",Chat_emotional_support"
Write a batch script to organize files by type",Code_scripting"
Who won the World Cup in soccer last time?",GK_sports"
I'm nervous about my first day at a new job",Chat_advice"
Implement a binary heap data structure",Code_data_structures"
What are the major stock exchanges around the world?",GK_economy"
Find the derivative of e^x * sin(x)",Math"
Categorize these colors: red, blue, green, yellow",Classification"
Create a machine learning pipeline for data preprocessing",Code_aiml"
What was the impact of the Cold War?",GK_history"
Tell me about your favorite childhood game",Chat_casual"
Set up a Kubernetes cluster for container orchestration",Code_devops"
What causes tsunamis?",GK_science"
I'm dealing with burnout at work",Chat_emotional_support"
Debug this Python code that's giving unexpected output",Code Explanation / Debug"
What are the major time zones in the world?",GK_geography"
Calculate the compound interest formula derivation",Math"
Summarize the main findings of this medical research",Summarization"
Build a recommendation engine using matrix factorization",Code_aiml"
What are the major international trade agreements?",GK_politics"
Write a science fiction story about alien contact",Chat_story"
Design a fault-tolerant distributed database system",Code_system_design"
What is the carbon cycle?",GK_environment"
I'm thrilled about my upcoming graduation",Chat_casual"
Create a web scraper using BeautifulSoup in Python",Code_scripting"
Who are the current world champions in chess?",GK_sports"
I'm struggling with work-life balance",Chat_advice"
Implement a skip list data structure",Code_data_structures"
What are the major cryptocurrency exchanges?",GK_economy"
Solve the differential equation dy/dx = 2x",Math"
Translate this Chinese phrase: '你好吗?'",Translation"
My SQL database is running out of space, what to do?",Code Explanation / Debug"
What are the major island nations?",GK_geography"
How do I build self-esteem?",Chat_advice"
Build a real-time chat application using WebSockets",Code_web_dev"
What is the current state of quantum research?",GK_tech"
I'm excited about my upcoming wedding",Chat_casual"
Write a script to monitor network traffic",Code_scripting"
Who holds the record for most Olympic gold medals?",GK_sports"
I'm dealing with anxiety about the future",Chat_emotional_support"
Create a graph database using Neo4j",Code_database"
What are the major philosophical schools of thought?",GK_literature"
Calculate the area of an ellipse with semi-axes a=3, b=2",Math"
Classify these weather patterns: sunny, rainy, cloudy, snowy",Classification"
Build a computer vision system for facial recognition",Code_aiml"
What were the major events of the 20th century?",GK_history"
Tell me about your favorite book",Chat_casual"
Set up continuous integration using GitHub Actions",Code_devops"
What is gene therapy?",GK_science"
I'm worried about my financial future",Chat_advice"
Debug this Java code that's throwing exceptions",Code Explanation / Debug"
What are the major peninsulas in the world?",GK_geography"
Find the sum of the series 1 + 2 + 3 + ... + 100",Math"
Summarize the key themes of this novel",Summarization"
Create a sentiment analysis model using deep learning",Code_aiml"
What are the major human rights organizations?",GK_politics"
Write a comedy story about mistaken identity",Chat_story"
Design a microservices architecture for e-commerce",Code_system_design"
What causes acid rain?",GK_environment"
I'm grateful for my good health",Chat_emotional_support"
Build a progressive web app with offline functionality",Code_web_dev"
Who are the current Nobel Prize winners?",GK_current_affairs"
Calculate the volume of a cylinder with radius 4 and height 10",Math"
Translate 'Where is the bathroom?' to Spanish",Translation"
My React app is not updating state correctly",Code Explanation / Debug"
What are the major straits and channels in the world?",GK_geography"
How do I deal with difficult coworkers?",Chat_advice"
Create a machine learning model for fraud detection",Code_aiml"
What is the current state of renewable technology?",GK_tech"
I'm excited about my vacation to Europe",Chat_casual"
Write a PowerShell script to manage Windows services",Code_scripting"
Who won the latest Super Bowl?",GK_sports"
I'm struggling with perfectionism",Chat_emotional_support"
Implement a trie data structure for string searching",Code_data_structures"
What are the major commodity markets?",GK_economy"
Solve the integral ∫x²e^x dx",Math"
Categorize these sports: football, tennis, swimming, basketball",Classification"
Build a neural network for time series prediction",Code_aiml"
What was the significance of the Magna Carta?",GK_history"
Tell me about your favorite movie",Chat_casual"
Set up log aggregation using ELK stack",Code_devops"
What is CRISPR gene editing?",GK_science"
I'm nervous about my upcoming surgery",Chat_advice"
Debug this CSS animation that's not working smoothly",Code Explanation / Debug"
What are the major gulfs and bays in the world?",GK_geography"
Calculate the present value of an annuity",Math"
Summarize the main points of this scientific paper",Summarization"
Create a recommendation system for music streaming",Code_aiml"
What are the major international courts?",GK_politics"
Write a historical fiction story set in Ancient Rome",Chat_story"
Design a scalable video streaming architecture",Code_system_design"
What is the ozone layer?",GK_environment"
I'm feeling confident about my presentation tomorrow",Chat_casual"
Build a REST API with rate limiting and caching",Code_web_dev"
Who are the current world leaders in innovation?",GK_current_affairs"
Find the Taylor series expansion of e^x",Math"
Translate 'I don't understand' to French",Translation"
My machine learning model is overfitting, how to fix?",Code Explanation / Debug"
What are the major plains and plateaus?",GK_geography"
How do I improve my communication skills?",Chat_advice"
Create a blockchain application for supply chain tracking",Code_app_dev"
What is the current state of space technology?",GK_tech"
I'm happy about my recent promotion",Chat_emotional_support"
Write a bash script to automate server maintenance",Code_scripting"
Who are the current world record holders in athletics?",GK_sports"
I'm dealing with impostor syndrome",Chat_advice"
Implement a B-tree data structure",Code_data_structures"
What are the major bond markets?",GK_economy"
Calculate the eigenvalues of a 2x2 matrix",Math"
Classify these programming languages: Python, Java, C++, JavaScript",Classification"
Build a computer vision model for medical imaging",Code_aiml"
What were the major discoveries of the Scientific Revolution?",GK_history"
Tell me about your favorite season",Chat_casual"
Set up infrastructure monitoring using Prometheus",Code_devops"
What is nanotechnology?",GK_tech"
I'm excited about my child's first steps",Chat_emotional_support"
Debug this Node.js server that's crashing randomly",Code Explanation / Debug"
What are the major archipelagos in the world?",GK_geography"
Solve the optimization problem: minimize f(x) = x² + 2x + 1",Math"
Summarize the key arguments in this legal brief",Summarization"
Create a natural language generation system",Code_aiml"
What are the major peacekeeping organizations?",GK_politics"
Write a fantasy story about magical creatures",Chat_story"
Design a distributed caching system",Code_system_design"
What causes the Aurora Borealis?",GK_science"
I'm grateful for my supportive friends",Chat_casual"
Build a real-time analytics dashboard",Code_web_dev"
Who won the latest Academy Awards?",GK_current_affairs"
Calculate the area of a sector with radius 6 and angle 60°",Math"
Translate 'Happy Birthday' to German",Translation"
My iOS app is consuming too much battery, how to optimize?",Code Explanation / Debug"
What are the major capes and headlands?",GK_geography"
How do I manage my time more effectively?",Chat_advice"
Create a deep learning model for natural language processing",Code_aiml"
What is the current state of biotechnology?",GK_tech"
I'm nervous about my first date",Chat_advice"
Write a script to automate software testing",Code_scripting"
Who are the current world champions in basketball?",GK_sports"
I'm dealing with grief after losing a loved one",Chat_emotional_support"
Implement a segment tree for range queries",Code_data_structures"
What are the major derivatives markets?",GK_economy"
Find the critical points of f(x) = x³ - 3x² + 2",Math"
Categorize these musical genres: rock, jazz, classical, hip-hop",Classification"
What was the impact of the printing press?",GK_history"
Tell me about your favorite food",Chat_casual"
Set up automated deployment using Ansible",Code_devops"
What is stem cell research?",GK_science"
I'm excited about my upcoming reunion",Chat_casual"
Debug this Python script that's running too slowly",Code Explanation / Debug"
What are the major waterfalls in the world?",GK_geography"
Calculate the compound probability of independent events",Math"
Summarize the main themes of this philosophical work",Summarization"
Create a speech recognition system using deep learning",Code_aiml"
What are the major international development organizations?",GK_politics"
Write a thriller story with multiple plot twists",Chat_story"
Design a high-performance computing cluster",Code_system_design"
What is the greenhouse gas effect?",GK_environment"
I'm proud of my team's achievement",Chat_emotional_support"
Build a mobile app with real-time synchronization",Code_app_dev"
Who are the current leaders in artificial intelligence research?",GK_current_affairs"
Solve the partial differential equation ∂u/∂t = ∂²u/∂x²",Math"
Translate 'Good luck' to Italian",Translation"
My database transactions are deadlocking, how to resolve?",Code Explanation / Debug"
What are the major volcanic regions?",GK_geography"
How do I overcome public speaking fear?",Chat_advice"
Create a machine learning pipeline for predictive maintenance",Code_aiml"
What is the current state of robotics?",GK_tech"
I'm feeling overwhelmed with my studies",Chat_emotional_support"
Write a script to monitor system resources",Code_scripting"
Who holds the world record in marathon running?",GK_sports"
I'm anxious about my job performance review",Chat_advice"
Implement a Fibonacci heap data structure",Code_data_structures"
What are the major forex trading pairs?",GK_economy"
Calculate the volume of a cone with radius 3 and height 8",Math"
Classify these architectural styles: Gothic, Modern, Baroque, Art Deco",Classification"
Build a computer vision system for autonomous vehicles",Code_aiml"
What were the major reforms of the Progressive Era?",GK_history"
Tell me about your favorite childhood toy",Chat_casual"
Set up service mesh using Istio",Code_devops"
What is quantum mechanics?",GK_science"
I'm grateful for my education opportunities",Chat_casual"
Debug this React Native app that's not running on iOS",Code Explanation / Debug"
What are the major coral reefs in the world?",GK_geography"
Find the Fourier transform of a rectangular pulse",Math"
Summarize the key findings of this economic report",Summarization"
Create a chatbot using transformer models",Code_aiml"
What are the major refugee assistance organizations?",GK_politics"
Write a adventure story about treasure hunting",Chat_story"
Design a content delivery network architecture",Code_system_design"
What causes ocean acidification?",GK_environment"
I'm excited about my new business venture",Chat_emotional_support"
Build a web application with serverless architecture",Code_web_dev"
Who are the current world leaders in sustainability?",GK_current_affairs"
Calculate the moment of inertia of a solid sphere",Math"
Translate 'See you later' to Portuguese",Translation"
My Docker container is not starting properly",Code Explanation / Debug"
What are the major tectonic plates?",GK_geography"
How do I build resilience in difficult times?",Chat_advice"
Create a deep learning model for protein folding prediction",Code_aiml"
What is the current state of clean energy?",GK_tech"
I'm nervous about my driving test",Chat_advice"
Write a script to automate code deployment",Code_scripting"
Who won the latest World Series?",GK_sports"
I'm dealing with seasonal depression",Chat_emotional_support"
Implement a suffix array for string processing",Code_data_structures"
What are the major insurance markets?",GK_economy"
Solve the recurrence relation T(n) = 2T(n/2) + n",Math"
Categorize these painting styles: Impressionism, Cubism, Surrealism, Realism",Classification"
Build a neural network for drug discovery",Code_aiml"
What was the significance of the Silk Road?",GK_history"
Tell me about your favorite vacation memory",Chat_casual"
Set up multi-cloud infrastructure management",Code_devops"
What is synthetic biology?",GK_science"
I'm proud of my volunteer work",Chat_emotional_support"
Debug this Angular application that's not loading data",Code Explanation / Debug"
What are the major geysers and hot springs?",GK_geography"
Calculate the Laplace transform of t*sin(t)",Math"
Summarize the main arguments in this policy paper",Summarization"
Create a recommendation engine for e-commerce",Code_aiml"
What are the major environmental protection agencies?",GK_politics"
Write a biographical story about a historical figure",Chat_story"
Design a real-time data processing pipeline",Code_system_design"
What is biodiversity loss?",GK_environment"
I'm feeling optimistic about the future",Chat_casual"
Build a progressive web app with push notifications",Code_web_dev"
Who are the current Nobel Peace Prize winners?",GK_current_affairs"
Find the center of mass of a uniform triangle",Math"
Translate 'I'm sorry' to Russian",Translation"
My Kubernetes pods are not scaling properly",Code Explanation / Debug"
What are the major meteor shower events?",GK_geography"
How do I maintain work-life balance?",Chat_advice"
Create a machine learning model for climate prediction",Code_aiml"
What is the current state of gene therapy?",GK_tech"
I'm excited about my upcoming conference presentation",Chat_casual"
Write a script to backup and restore databases",Code_scripting"
Who are the current world champions in figure skating?",GK_sports"
I'm struggling with decision-making paralysis",Chat_emotional_support"
Implement a persistent data structure",Code_data_structures"
What are the major credit rating agencies?",GK_economy"
Calculate the electric field of a point charge",Math"
Classify these dance styles: Ballet, Hip-hop, Salsa, Ballroom",Classification"
Build a computer vision system for quality control",Code_aiml"
What were the major inventions of the Industrial Revolution?",GK_history"
Tell me about your favorite outdoor activity",Chat_casual"
Set up disaster recovery for cloud infrastructure",Code_devops"
What is personalized medicine?",GK_science"
I'm grateful for my mentor's guidance",Chat_emotional_support"
Debug this Vue.js component that's not reactive",Code Explanation / Debug"
What are the major cave systems in the world?",GK_geography"
Solve the wave equation in one dimension",Math"
Summarize the key points of this technical manual",Summarization"
Create a natural language understanding system",Code_aiml"
What are the major humanitarian organizations?",GK_politics"
Write a coming-of-age story about a teenager",Chat_story"
Design a event-driven microservices architecture",Code_system_design"
What causes deforestation?",GK_environment"
I'm nervous about my medical appointment",Chat_advice"
Build a real-time multiplayer game",Code_app_dev"
Who are the current leaders in space exploration?",GK_current_affairs"
Calculate the magnetic field of a current loop",Math"
Translate 'Congratulations' to Arabic",Translation"
My machine learning pipeline is failing in production",Code Explanation / Debug"
What are the major national parks worldwide?",GK_geography"
How do I improve my emotional intelligence?",Chat_advice"
Create a deep learning model for speech synthesis",Code_aiml"
What is the current state of 3D printing?",GK_tech"
I'm happy about my child's academic success",Chat_emotional_support"
Write a script to monitor application performance",Code_scripting"
Who won the latest Champions League?",GK_sports"
I'm dealing with anxiety about aging",Chat_advice"
Implement a lock-free data structure",Code_data_structures"
What are the major precious metals markets?",GK_economy"
Find the eigenvalues of a symmetric matrix",Math"
Categorize these literary genres: Mystery, Romance, Fantasy, Biography",Classification"
Build a recommendation system for job matching",Code_aiml"
What was the impact of the Scientific Method?",GK_history"
Tell me about your favorite holiday tradition",Chat_casual"
Set up chaos engineering for system resilience",Code_devops"
What is precision medicine?",GK_science"
I'm excited about my grandchild's birth",Chat_emotional_support"
Debug this Swift code that's crashing on device",Code Explanation / Debug"
What are the major salt lakes in the world?",GK_geography"
Calculate the heat transfer coefficient for convection",Math"
Summarize the main findings of this psychological study",Summarization"
Create a machine learning model for anomaly detection",Code_aiml"
What are the major conflict resolution organizations?",GK_politics"
Write a dystopian story about the future",Chat_story"
Design a blockchain-based identity management system",Code_system_design"
What is ocean pollution?",GK_environment"
I'm proud of my community service",Chat_casual"
Build a voice-controlled smart home system",Code_app_dev"
Who are the current world leaders in education?",GK_current_affairs"
Solve the Schrödinger equation for a particle in a box",Math"
Translate 'How much does this cost?' to Hindi",Translation"
My API is returning 500 errors intermittently",Code Explanation / Debug"
What are the major fjords in the world?",GK_geography"
How do I cope with change and uncertainty?",Chat_advice"
Create a neural network for financial forecasting",Code_aiml"
What is the current state of virtual reality?",GK_tech"
I'm feeling confident about my presentation skills",Chat_emotional_support"
Write a script to automate security scanning",Code_scripting"
Who holds the world record in swimming?",GK_sports"
I'm anxious about my retirement planning",Chat_advice"
Implement a concurrent hash map",Code_data_structures"
What are the major agricultural commodity exchanges?",GK_economy"
Calculate the fluid flow rate through a pipe",Math"
Classify these art movements: Renaissance, Impressionism, Abstract, Pop Art",Classification"
Build a computer vision system for medical diagnosis",Code_aiml"
What were the major social movements of the 1960s?",GK_history"
Tell me about your favorite board game",Chat_casual"
What's your favorite way to spend a rainy day?","Chat_casual"
Tell me a funny story about a mischievous cat.","Chat_story"
I'm feeling lonely after my breakup, any advice?","Chat_emotional_support"
How do I politely decline a friend's wedding invitation?","Chat_advice"
Who won the 2023 Nobel Prize in Physics?","GK_current_affairs"
Explain the significance of the Rosetta Stone.","GK_history"
How do photosynthesis and cellular respiration work together?","GK_science"
What causes the different colors in auroras?","GK_geography"
Compare parliamentary vs presidential systems.","GK_politics"
Analyze Messi's impact on MLS viewership.","GK_sports"
How do blockchain smart contracts work?","GK_tech"
What's the central theme of Kafka's 'Metamorphosis'?","GK_literature"
Explain quantitative easing in simple terms.","GK_economy"
Why are coral reefs dying at an alarming rate?","GK_environment"
How do I center a div vertically in CSS?","Code_htmlcssjs"
Build a Flask API endpoint for user login.","Code_web_dev"
Create a React Native component for a swipeable card.","Code_app_dev"
Implement a breadth-first search in Python.","Code_algorithms"
Design a load-balanced microservice architecture.","Code_system_design"
Write a Bash script to backup MySQL databases.","Code_scripting"
Solve for x: 3x² - 12x + 9 = 0","Math"
Translate 'Sustainability requires collective action' to Spanish.","Translation"
Summarize the key points of the Paris Agreement.","Summarization"
What's your favorite way to unwind after work?","Chat_casual"
Tell me a funny story about a dog learning to skateboard.","Chat_story"
I'm feeling anxious about my job interview tomorrow. Any tips?","Chat_emotional_support"
How do I politely tell my neighbor their music is too loud?","Chat_advice"
Who won the 2023 FIFA Women's World Cup?","GK_current_affairs"
Explain the significance of the Magna Carta.","GK_history"
How do vaccines train our immune system?","GK_science"
Why do some deserts have sand dunes while others don't?","GK_geography"
Compare the healthcare systems of Canada and the US.","GK_politics"
Analyze the impact of VAR technology in soccer.","GK_sports"
How do LLMs like ChatGPT actually work?","GK_tech"
What makes Shakespeare's sonnets structurally unique?","GK_literature"
Explain inflation using a pizza analogy.","GK_economy"
Why are keystone species vital to ecosystems?","GK_environment"
How do I make a responsive navbar with CSS Grid?","Code_htmlcssjs"
Build a Flask endpoint that accepts JSON payloads.","Code_web_dev"
Create a React Native flatlist with pull-to-refresh.","Code_app_dev"
Implement quicksort in Python with O(n log n) complexity.","Code_algorithms"
Design a URL shortening service like Bit.ly.","Code_system_design"
Write a Python script to rename 1000 files sequentially.","Code_scripting"
Solve for x: log₂(x) + log₂(x-2) = 3","Math"
Translate 'Where is the nearest hospital?' to Japanese.","Translation"
Summarize the key themes of 'The Great Gatsby'.","Summarization"
Explain quantum entanglement using only emojis","GK_science"
What would happen if mosquitoes voted in elections?","GK_politics"
Describe the taste of purple to an alien","Chat_casual"
Write a Python script to simulate a banana rebellion","Code_algorithms"
How many pandas would it take to win a war against geese?","Miscellaneous"
Create a haiku about broken refrigerators","Chat_story"
Design a SQL database for time-traveling dentists","Code_database"
If clouds could scream, how would weather forecasts change?","GK_environment"
Prove mathematically that pizza is a sandwich","Math"
Translate 'My cat is judging me' into Klingon","Translation"
Explain the plot of Titanic using only movie titles","Chat_story"
Write JavaScript that makes websites cry","Code_htmlcssjs"
What would Shakespeare's Twitter look like?","GK_literature"
Describe the smell of disappointment","Chat_emotional_support"
Build an API for communicating with houseplants","Code_web_dev"
Calculate the airspeed velocity of an unladen meme","Math"
If trees could talk, what conspiracy theories would they believe?","GK_environment"
Compose a country song about lost USB drives","Chat_story"
Design a programming language for ghosts","Code_system_design"
Explain blockchain using only food metaphors","GK_tech"
Write a breakup letter to your favorite programming language","Code_web_dev"
What if the moon was made of cheese? Provide scientific evidence","GK_science"
Create an algorithm for perfect pillow fluffing","Code_algorithms"
Describe the sound a rainbow would make","Chat_casual"
Plan a heist to steal the concept of time","Chat_story"
Debug this imaginary code written by a sleep-deprived AI","Code_Explanation / Debug"
Invent a new punctuation mark and explain its use","GK_literature"
If emotions had flavors, what would anxiety taste like?","Chat_emotional_support"
Write a constitution for a nation of cats","GK_politics"
Calculate how many licks it takes to reach the center of a black hole","Math"
Design a UI for a toaster that toasts feelings","Code_app_dev"
Explain the internet to a 19th century sailor","GK_tech"
Create a workout routine for lazy robots","Chat_advice"
Prove that all odd numbers are secretly spies","Math"
Write a sonnet about forgetting your password","GK_literature"
Develop a psychological profile of a stubborn stapler","Miscellaneous"
Describe how to build a house using only Twitter posts","Chat_story"
Invent a new holiday based on your worst habit","Chat_casual"
Explain the stock market using only dinosaur analogies","GK_economy"
Write a Bash script to annoy your future self","Code_scripting"
Design a dating app for kitchen appliances","Code_app_dev"
Calculate the emotional weight of an average sigh","Math"
If countries had RPG character sheets, what would America's stats be?","GK_politics"
Create a traffic system for ant colonies","GK_environment"
Write a JavaScript function that returns your will to live","Code_htmlcssjs"
Explain the French Revolution using only food fights","GK_history"
Design a religion based on procrastination","Miscellaneous"
Compose an opera about browser cookies","Chat_story"
Prove that all mirrors are actually parallel universes with bad lighting","GK_science"
Write a Python decorator that makes functions sarcastic","Code_web_dev"
Why do cats bring dead animals as gifts?","GK_science"
Write a Python script to simulate a zombie outbreak","Code_algorithms"
